epoch,zero - epoch_validation_ols,last-frame - epoch_validation_ols,SGEDConvLSTM - epoch_validation_ols
0,0.326311491,0.324837043,0.321109296
1,0.32459935,0.327727977,0.32885767
2,0.32500478,0.325793441,0.32875801
3,0.32709459,0.326104988,0.328010209
4,0.328506583,0.329977427,0.330579482
5,0.32960204,0.331498909,0.331576734
6,0.332209796,0.333374616,0.333487414
7,0.333137641,0.334757425,0.334303649
8,0.333776315,0.334353219,0.335711489
9,0.334676007,0.335601078,0.33855061
10,0.335695334,0.336486456,0.337457157
11,0.335858732,0.337803701,0.337311575
12,0.336144473,0.337516945,0.338940746
13,0.336815753,0.337909431,0.339318756
14,0.336991073,0.337986425,0.339096892
15,0.337732752,0.338398942,0.339577743
16,0.33851522,0.338056967,0.339916098
17,0.338571556,0.339578441,0.340321469
18,0.338957209,0.338892632,0.339006163
19,0.339351502,0.33929398,0.340578318
20,0.33884468,0.339601804,0.341445699
21,0.339053421,0.339903258,0.342058535
22,0.33894382,0.339969386,0.342724291
23,0.338916092,0.340138965,0.342463857
24,0.339056135,0.340730699,0.342983075
25,0.339306609,0.340926601,0.343274093
26,0.339215994,0.341528101,0.34319699
27,0.33916955,0.341627036,0.342838752
28,0.339697911,0.340815058,0.343220739
29,0.339971725,0.341757242,0.343180911
30,0.340577583,0.341878465,0.343580154
31,0.340342237,0.342034054,0.343102403
32,0.3405756,0.342042012,0.343079333
33,0.340305945,0.342014814,0.3431877
34,0.340404449,0.342453942,0.343276573
35,0.340890041,0.342537745,0.343603539
36,0.34092609,0.342730845,0.343944691
37,0.341224865,,0.344087594
38,0.341375867,,0.344631227
39,0.341681033,,0.344401294
40,0.341735075,,0.343422148
41,0.341630722,,0.344590593
42,0.341831733,,0.344243589
43,,,0.34442023
44,,,0.345040172
45,,,0.344578119
46,,,0.34473538
47,,,0.344320801
48,,,0.343429367
49,,,0.34406206
50,,,0.343970385
51,,,0.345003841
52,,,0.34492687
53,,,0.343994987
54,,,0.344544198
55,,,0.344645555
